village_name,created_time,nearest_health_centre
Ban Mae Kong Pae,2021-09-22 15:52:54,Ban Kok Luang
Ban Mae Yuam Noi,2021-09-24 16:34:30,Ban Pong Tong
Ban Mae Ho Klang,2021-10-27 14:25:02,Ban Mae Ho
Ban Khun Mae La,2021-10-28 11:14:18,
Ban Huay Peung Kao,2021-10-28 12:25:05,
Ban Rom Yen,2021-10-28 12:25:05,Ban Mae Ki
Ban Huay Pong Lao,2021-10-28 12:25:05,Ban Mae Ki
Ban Mae Sapei Nua,2021-10-28 12:25:05,Khun Yuam
Ban Mae Sapei Tai,2021-10-28 12:25:05,Ban Mae Su Rin
Ban Mae Oompai Tai,2021-10-28 12:25:05,Ban Mae To
Ban Huay Pong Karn,2021-10-28 12:25:05,Huay Pong
Ban Hua Pon,2021-10-28 12:25:05,
Ban Kham Suk,2021-10-28 12:25:05,Khun Yuam
Ban Mai Pattana,2021-10-28 12:25:05,
Ban Pattana Poo Koo,2021-10-28 12:25:05,Ban Pang Tong
Ban Huay Ku Pa,2021-10-28 12:25:05,Ban Mae La Luang
Ban Huay Rin,2021-10-28 12:25:05,Mae La Noi
Ban Mae La Luang,2021-10-28 12:25:05,
Ban Santi Suk,2021-10-28 12:25:05,
Ban Huay Kai Pa,2021-10-28 12:25:05,Ban Mae Su
Ban Huay Pueng Mai,2021-10-28 12:25:05,
Khun Yuam,2021-10-28 12:25:05,
Ban Huay San,2021-10-28 12:25:05,Ban Mae Ki
Ban Mae Kheed,2021-10-28 12:25:05,Ban Kok Luang
Ban Mae La Pa Wai,2021-10-28 12:25:05,In the village
Ban Mae Tho,2021-10-28 12:25:05,
Ban Mae Tho Tai,2021-10-28 12:25:05,Ban Mae To
Ban Mae La Noi Duransik,2021-10-28 12:25:05,
Ban Pa Pong,2021-10-28 12:25:05,Ban Huay Kung
Ban Kong Pae Nua,2021-10-28 12:25:05,
Ban Jaw Si Der,2021-10-28 12:25:05,
Ban San Jao,2021-10-28 12:25:05,Ban Pang Tong
Ban Santi Pattana,2021-10-28 12:25:05,
Ban Na ngeiw,2021-10-28 12:25:05,Khun Yuam
Ban Hak Mai Tai,2021-10-28 12:25:05,
Ban Mae Pang,2021-10-28 12:25:05,
Ban Mae Poon,2021-10-28 12:25:05,Ban Chang Maw
Khun Yuam Wittaya,2021-10-28 12:25:05,
Mae Tho,2021-10-28 12:25:05,
Ban Tee Hue Lue,2021-10-28 12:25:05,
Ban Nam Tok,2021-10-28 12:25:05,
Ban Khun Mae Yod,2021-10-28 12:25:05,
Ban Ma Hing Luang,2021-10-28 12:25:05,Ban Mae La Ka
Ban Huay Ma Ba,2021-10-28 16:47:15,Ban Khun Mae La Noi
Ban Pa Maak,2021-11-01 13:07:27,Mae La Noi
Ban Mae Khi,2021-11-01 17:10:12,In the village
Ban Pho So,2021-11-19 08:24:16,
Ban Mae Au (Mae Chaem),2021-11-22 07:54:33,Ban Pang Ung
Ban Mae Yuam Luang,2021-11-26 04:07:54,Ban Pang Tong
Ban Huay Ton Noon,2021-11-26 04:33:45,Ban Huay Ton Noon
Ban Ler Wa Day,2021-11-26 07:38:22,Ban Po Saw
Ban Po Saw,2021-11-26 07:59:56,Ban Po Saw
Ban Mae Lor,2021-11-26 08:24:13,Ban Po Saw
Ban Huay Na,2021-11-26 08:50:08,Ban Huay Na
Ban Huay Pong,2021-11-28 05:32:07,Ban Po Saw
Ban Nong Heang,2021-11-28 05:47:14,Ban Muang Pon
Ban Mae Jaa,2021-11-28 06:11:03,Ban Huay Pong
Ban Mae Song,2021-11-28 06:40:40,Ban Sa La Jiang Tong
Ban Mae Po,2021-11-29 03:16:25,Ban Sa La Jiang Tong
Ban Mae Phae,2021-11-29 03:23:28,Ban Sa La Jiang Tong
Ban Thung Pa Kha,2022-03-09 08:59:51,Ban Mae Suk
Ban Nong Khao Nua,2022-05-11 08:38:28,Ban Nong Khao Klong
Ban Mae Tia,2022-05-12 08:47:17,Ban Mae Tia
Ban Kong Soum,2022-06-01 07:48:30,
Ban Huay Po,2022-06-01 08:05:00,
Ban Khun Mae Ruam,2022-06-01 08:07:11,Ban Mae La Up
Ban Klo Se Lo,2022-06-01 08:11:55,
Ban Pang Tong,2022-06-01 08:18:32,Ban Pang Tong
Ban Huay Hu Pa,2022-06-01 08:24:03,
Ban Mae Taw La,2022-06-01 08:27:45,
Ban Huay Sua,2022-06-01 08:36:00,
Ban Pang Chang,2022-06-01 08:40:32,
Ban Mae Sa,2022-06-01 08:45:09,
Ban Mae Wa Luang,2022-06-20 07:12:44,
Sao Hin,2022-06-20 07:26:27,
Pa Mark,2022-06-20 07:29:43,
Mae Tor,2022-06-20 07:31:03,
Ban Aum Da Nua,2022-06-20 07:54:16,
Ban Huay Ma Kok,2022-06-20 08:06:00,
Ban Aae Auh,2022-07-25 11:19:24,Ban Mae La Oop
