solution_title,product_name.id,created_time,project_start_date,project_end_date,donor_1_d1_id,donor_3_d3_id,donor_2_d2_id,village_id,project_type
Ban Mae Kong Pae May 2021 Irrigation Project,zcrm_361303000000282255,2021-09-22 15:53:30,2021-04-01,2021-06-30,zcrm_361303000001880120,,,zcrm_361303000000383834,New
Ban Mae Yuam Noi July 2021 WASH Project,zcrm_361303000000286015,2021-09-24 16:46:02,2021-02-01,2021-11-30,zcrm_361303000000461011,,,zcrm_361303000000461001,New
Ban Mae Ho Klang November 2021 WASH Project,zcrm_361303000000286015,2021-10-27 14:40:54,2021-10-01,2022-03-31,zcrm_361303000000521011,zcrm_361303000000521031,zcrm_361303000000521021,zcrm_361303000000521001,New
Ban Khun Mae La 2021 School Bus,zcrm_361303000000269727,2021-10-28 11:23:06,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000522010,Ongoing
Ban Huay Peung Kao 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527031,Ongoing
Ban Rom Yen 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527032,Ongoing
Ban Huay Pong Lao 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527033,Ongoing
Ban Mae Sapei Nua 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527034,Ongoing
Ban Mae Sapei Tai 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527035,Ongoing
Ban Mae Oompai Tai 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527036,Ongoing
Ban Huay Pong Karn 2021 School Bus,zcrm_361303000000269727,2021-10-28 14:55:27,2021-05-01,2022-03-31,zcrm_361303000000522020,zcrm_361303000000522040,zcrm_361303000000522030,zcrm_361303000000527037,Ongoing
