village_name,created_time,households,road_conditions,total_population,gps_latitude,gps_longitude,_population_without_enough_rice,children_aged_0_-_18,distance_to_town_km,adult_males,adult_females,distance_to_hospital_km,nearest_health_centre,distance_to_pratom_km,annual_typhoid_cases,distance_to_health_centre_km,distance_to_mathayom_km,common_diseases,hosted_kht_projects,record_id
Ban Mae Kong Pae,2021-09-22 15:52:54,53,Average (some paved road. some potholes),250,18.565066,98.116619,60,-1,58,130,120,58,Ban Kok Luang,5,2,11,4,Flu,Irrigation;WASH,zcrm_361303000000383834
Ban Mae Yuam Noi,2021-09-24 16:34:30,30,Good (paved roads. few potholes),118,18.8184,98.05048,50,29,16,43,46,16,Ban Pong Tong,1,3,5,16,Ulcer. Flu,WASH,zcrm_361303000000461001
Ban Mae Ho Klang,2021-10-27 14:25:02,33,Very Good (paved roads),153,18.133738,98.078612,40,24,20,68,61,20,Ban Mae Ho,2,1,2,2,Ulcer & Flu,WASH,zcrm_361303000000521001
Ban Khun Mae La,2021-10-28 11:14:18,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses;Further Education Scholarships,zcrm_361303000000522010
Ban Huay Peung Kao,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses,zcrm_361303000000527031
Ban Rom Yen,2021-10-28 12:25:05,24,,117,,,20,31,42,43,43,42,Ban Mae Ki,10,1,10,42,Flu. Ulcer,School Buses;Irrigation;Further Education Scholarships;WASH,zcrm_361303000000527032
Ban Huay Pong Lao,2021-10-28 12:25:05,46,,231,18.61241,97.8565,40,80,40,73,78,40,Ban Mae Ki,9,1,9,40,Flu and Ulcer,School Buses;Further Education Scholarships;WASH,zcrm_361303000000527033
Ban Mae Sapei Nua,2021-10-28 12:25:05,70,,300,18.90522,97.85216,50,99,25,101,100,25,Khun Yuam,-1,38,25,-1,Ulcer. influenza,School Buses;WASH,zcrm_361303000000527034
Ban Mae Sapei Tai,2021-10-28 12:25:05,88,,395,18.9324,97.86873,40,114,14,146,135,14,Ban Mae Su Rin,-1,10,12,14,,School Buses;Further Education Scholarships;WASH,zcrm_361303000000527035
Ban Mae Oompai Tai,2021-10-28 12:25:05,88,,397,18.75611,98.03743,20,-1,54,-1,-1,54,Ban Mae To,-1,7,3,-1,Flu. Stomach ache. Headache,Irrigation;School Buses;WASH,zcrm_361303000000527036
Ban Huay Pong Karn,2021-10-28 12:25:05,37,Very Good (paved roads),132,19.11397,97.97173,60,35,30,46,51,30,Huay Pong,11,-1,8,-1,Flu,School Buses;Further Education Scholarships;WASH,zcrm_361303000000527037
Ban Hua Pon,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses;Further Education Scholarships,zcrm_361303000000527038
Ban Kham Suk,2021-10-28 12:25:05,11,,84,18.82074,98.0462,30,37,14,23,24,14,Khun Yuam,-1,2,14,-1,,School Buses;Further Education Scholarships;WASH,zcrm_361303000000527039
Ban Mai Pattana,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses;Further Education Scholarships,zcrm_361303000000527040
Ban Pattana Poo Koo,2021-10-28 12:25:05,80,Very Good (paved roads),305,18.923076,97.869539,60,-1,7,153,152,7,Ban Pang Tong,0,-1,10,7,Flu,School Buses;Irrigation;Further Education Scholarships,zcrm_361303000000527041
Ban Huay Ku Pa,2021-10-28 12:25:05,33,,126,18.54035,97.89712,50,49,26,-1,-1,26,Ban Mae La Luang,-1,-1,6,6,,School Buses;Further Education Scholarships;WASH,zcrm_361303000000527042
Ban Huay Rin,2021-10-28 12:25:05,99,,401,,,20,80,5,153,168,5,Mae La Noi,-1,5,5,-1,Flu. Ulcer,School Buses;Further Education Scholarships;WASH,zcrm_361303000000527044
Ban Mae La Luang,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses;Further Education Scholarships,zcrm_361303000000527045
Ban Santi Suk,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Buses,zcrm_361303000000527046
Ban Huay Kai Pa,2021-10-28 12:25:05,113,,539,18.9509,97.79007,40,160,22,191,188,22,Ban Mae Su,-1,-1,5,12,Flu. Ulcer and headache,School Buses;School Meals;Further Education Scholarships;WASH,zcrm_361303000000527047
Ban Huay Pueng Mai,2021-10-28 12:25:05,-1,,-1,,,-1,-1,-1,-1,-1,-1,,-1,-1,-1,-1,,School Meals,zcrm_361303000000527048
