village_name,created_time,nearest_health_centre
Ban Mae Kong Pae,2021-09-22 15:52:54,Ban Kok Luang
Ban Khun Mae La,2021-10-28 11:14:18,
Ban Pho So,2021-11-19 08:24:16,
Ban Kong Soum,2022-06-01 07:48:30,
Ban Huay Po,2022-06-01 08:05:00,
Ban Klo Se Lo,2022-06-01 08:11:55,
Ban Huay Hu Pa,2022-06-01 08:24:03,
Ban Mae Taw La,2022-06-01 08:27:45,
Ban Huay Sua,2022-06-01 08:36:00,
Ban Pang Chang,2022-06-01 08:40:32,
Ban Mae Sa,2022-06-01 08:45:09,
Ban Mae Wa Luang,2022-06-20 07:12:44,
Sao Hin,2022-06-20 07:26:27,
Pa Mark,2022-06-20 07:29:43,
Mae Tor,2022-06-20 07:31:03,
Ban Aum Da Nua,2022-06-20 07:54:16,
Ban Huay Ma Kok,2022-06-20 08:06:00,
Ban Mae Jaw,2022-07-25 05:36:37,
Ban Huay Phueng,2022-07-25 07:10:57,
Mon Ta Lang,2022-07-26 05:01:45,
Mae Salit Luang,2022-07-26 05:03:14,
Ban Huay Bong Tha,2022-08-04 04:57:10,
Ban Thung Ruang Thong,2022-08-04 05:06:32,
Ban Huay Pom Fard,2022-08-04 05:09:42,
Ban Sob Mae Ruam,2022-08-04 05:15:09,
Ban Ruam Mo,2022-08-04 05:17:28,
Ban Eeh Vee Jo,2022-08-04 05:26:01,
Ban Mae Phae Noi,2022-08-04 05:29:37,
Ban Mae Lui Bon,2022-08-04 05:32:03,
Ban Huay Khi Pher,2022-08-04 05:40:56,
Wangkhan,2022-08-26 02:14:33,
Ban Kong Sum Nua,2022-09-13 10:46:35,
Ban Kong Sum Tai,2022-09-13 10:47:36,
Ban Mae Nil Nok,2022-09-14 03:13:22,
Ban Mae Nil Nok,2022-09-14 03:13:24,
Ban Mae Ja,2022-09-27 10:00:15,
Ban Mae Laep,2022-09-28 02:59:26,
