solution_title,project_start_date,project_end_date,project_type,village_id
Ban Mae Kong Pae May 2021 Irrigation Project,2021-04-01,2021-06-30,New,zcrm_361303000000383834
Ban Mae Yuam Noi July 2021 WASH Project,2021-02-01,2021-11-30,New,zcrm_361303000000461001
Ban Mae Ho Klang November 2021 WASH Project,2021-10-01,2022-03-31,New,zcrm_361303000000521001
Ban Khun Mae La 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000522010
Ban Huay Peung Kao 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527031
Ban Rom Yen 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527032
Ban Huay Pong Lao 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527033
Ban Mae Sapei Nua 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527034
Ban Mae Sapei Tai 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527035
Ban Mae Oompai Tai 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527036
Ban Huay Pong Karn 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527037
Ban Hua Pon. Ban Mae Au 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527038
Ban Kham Suk 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527039
Ban Mai Pattana 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527040
Ban Pattana Puku 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527041
Ban Huay Ku Pa 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527042
Ban Tung Pa Kha 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000001197125
Ban Huay Rin 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527044
Ban Mae La Luang 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527045
Ban Mae Sapei Tai. Ban Mae Sapei Nua 2021 School Bus,2021-06-01,2022-03-31,Ongoing,zcrm_361303000000527035
Ban Santi Suk 2021 School Bus,2021-05-01,2021-06-01,Ongoing,zcrm_361303000000527046
Ban Huay Kai Pa 2021 School Bus,2021-05-01,2022-03-31,Ongoing,zcrm_361303000000527047
