village_name,created_time,nearest_mathayom_seconary_id,nearest_pratom_primary_id
Ban Mae Kong Pae,2021-09-22 15:52:54,zcrm_361303000000401980,zcrm_361303000000401970
Ban Mae Yuam Noi,2021-09-24 16:34:30,zcrm_361303000000461077,zcrm_361303000000461087
Ban Mae Ho Klang,2021-10-27 14:25:02,zcrm_361303000000521157,zcrm_361303000000521157
Ban Khun Mae La,2021-10-28 11:14:18,,
Ban Huay Peung Kao,2021-10-28 12:25:05,,
Ban Rom Yen,2021-10-28 12:25:05,zcrm_361303000000461077,zcrm_361303000000528033
Ban Huay Pong Lao,2021-10-28 12:25:05,zcrm_361303000000461077,zcrm_361303000000528034
Ban Mae Sapei Nua,2021-10-28 12:25:05,,
Ban Mae Sapei Tai,2021-10-28 12:25:05,,
Ban Mae Oompai Tai,2021-10-28 12:25:05,,zcrm_361303000001881154
Ban Huay Pong Karn,2021-10-28 12:25:05,,zcrm_361303000001881165
Ban Hua Pon,2021-10-28 12:25:05,,
Ban Kham Suk,2021-10-28 12:25:05,,
Ban Mai Pattana,2021-10-28 12:25:05,,
Ban Pattana Poo Koo,2021-10-28 12:25:05,zcrm_361303000000461077,zcrm_361303000000546007
Ban Huay Ku Pa,2021-10-28 12:25:05,zcrm_361303000001881210,
Ban Huay Rin,2021-10-28 12:25:05,,zcrm_361303000001881109
Ban Mae La Luang,2021-10-28 12:25:05,,
Ban Santi Suk,2021-10-28 12:25:05,,
Ban Huay Kai Pa,2021-10-28 12:25:05,zcrm_361303000001881140,
Ban Huay Pueng Mai,2021-10-28 12:25:05,,
Khun Yuam,2021-10-28 12:25:05,,
Ban Huay San,2021-10-28 12:25:05,,
Ban Mae Kheed,2021-10-28 12:25:05,zcrm_361303000000528034,zcrm_361303000000528034
Ban Mae La Pa Wai,2021-10-28 12:25:05,,
Ban Mae Tho,2021-10-28 12:25:05,,
Ban Mae Tho Tai,2021-10-28 12:25:05,,
Ban Mae La Noi Duransik,2021-10-28 12:25:05,,
Ban Pa Pong,2021-10-28 12:25:05,zcrm_361303000000521090,
Ban Kong Pae Nua,2021-10-28 12:25:05,,
Ban Jaw Si Der,2021-10-28 12:25:05,,
Ban San Jao,2021-10-28 12:25:05,,zcrm_361303000001881157
Ban Santi Pattana,2021-10-28 12:25:05,,
Ban Na ngeiw,2021-10-28 12:25:05,,
Ban Hak Mai Tai,2021-10-28 12:25:05,,
Ban Mae Pang,2021-10-28 12:25:05,,
Ban Mae Poon,2021-10-28 12:25:05,zcrm_361303000000521157,zcrm_361303000000814174
Khun Yuam Wittaya,2021-10-28 12:25:05,,
Mae Tho,2021-10-28 12:25:05,,
Ban Tee Hue Lue,2021-10-28 12:25:05,,
Ban Nam Tok,2021-10-28 12:25:05,,
Ban Khun Mae Yod,2021-10-28 12:25:05,zcrm_361303000001881155,
Ban Ma Hing Luang,2021-10-28 12:25:05,,
Ban Huay Ma Ba,2021-10-28 16:47:15,zcrm_361303000000534466,zcrm_361303000000401970
Ban Pa Maak,2021-11-01 13:07:27,zcrm_361303000000401954,zcrm_361303000000543045
Ban Mae Khi,2021-11-01 17:10:12,zcrm_361303000000461077,
Ban Pho So,2021-11-19 08:24:16,,
Ban Mae Au (Mae Chaem),2021-11-22 07:54:33,zcrm_361303000000667033,zcrm_361303000000667043
Ban Mae Yuam Luang,2021-11-26 04:07:54,zcrm_361303000000461077,zcrm_361303000000461087
Ban Huay Ton Noon,2021-11-26 04:33:45,zcrm_361303000000461077,zcrm_361303000000704013
Ban Ler Wa Day,2021-11-26 07:38:22,zcrm_361303000000704077,zcrm_361303000000707122
Ban Po Saw,2021-11-26 07:59:56,zcrm_361303000000704077,zcrm_361303000000704077
Ban Mae Lor,2021-11-26 08:24:13,zcrm_361303000000704077,zcrm_361303000000707122
Ban Huay Na,2021-11-26 08:50:08,zcrm_361303000000461077,zcrm_361303000000707256
Ban Huay Pong,2021-11-28 05:32:07,zcrm_361303000000704077,zcrm_361303000000707122
Ban Nong Heang,2021-11-28 05:47:14,zcrm_361303000000716100,zcrm_361303000000716100
Ban Mae Jaa,2021-11-28 06:11:03,zcrm_361303000000461057,zcrm_361303000000716167
Ban Mae Song,2021-11-28 06:40:40,zcrm_361303000000716235,zcrm_361303000000716235
Ban Mae Po,2021-11-29 03:16:25,zcrm_361303000000716235,zcrm_361303000000716235
Ban Mae Phae,2021-11-29 03:23:28,zcrm_361303000000704077,zcrm_361303000000716235
Ban Thung Pa Kha,2022-03-09 08:59:51,zcrm_361303000000528038,zcrm_361303000001197151
Ban Nong Khao Nua,2022-05-11 08:38:28,zcrm_361303000001443590,zcrm_361303000001443590
Ban Mae Tia,2022-05-12 08:47:17,zcrm_361303000001443554,zcrm_361303000001455082
Ban Kong Soum,2022-06-01 07:48:30,,
Ban Huay Po,2022-06-01 08:05:00,,
Ban Khun Mae Ruam,2022-06-01 08:07:11,,
Ban Klo Se Lo,2022-06-01 08:11:55,,
Ban Pang Tong,2022-06-01 08:18:32,zcrm_361303000001881167,zcrm_361303000001881167
Ban Huay Hu Pa,2022-06-01 08:24:03,,
Ban Mae Taw La,2022-06-01 08:27:45,,
Ban Huay Sua,2022-06-01 08:36:00,,
Ban Pang Chang,2022-06-01 08:40:32,,
Ban Mae Sa,2022-06-01 08:45:09,,
Ban Mae Wa Luang,2022-06-20 07:12:44,,
