village_name,created_time,households,road_conditions,total_population,gps_latitude,gps_longitude,_population_without_enough_rice,children_aged_0_-_18,distance_to_town_km,adult_males,adult_females,distance_to_hospital_km,nearest_health_centre,distance_to_pratom_km,annual_typhoid_cases,distance_to_health_centre_km,distance_to_mathayom_km,common_diseases,hosted_kht_projects,record_id
Ban Mae Kong Pae,2021-09-22 15:52:54,53.0,Average (some paved road. some potholes),250.0,18.565066,98.116619,60.0,,58.0,130.0,120.0,58.0,Ban Kok Luang,5.0,2.0,11.0,4.0,Flu,Irrigation;WASH,zcrm_361303000000383834
Ban Khun Mae La,2021-10-28 11:14:18,,,,,,,,,,,,,,,,,,School Buses;Further Education Scholarships,zcrm_361303000000522010
Ban Pho So,2021-11-19 08:24:16,,,,,,,,,,,,,,,,,,School Meals,zcrm_361303000000654001
Ban Huay Pong,2021-11-28 05:32:07,35.0,Average (some paved road. some potholes),123.0,,,50.0,,73.0,58.0,65.0,73.0,Ban Po Saw,5.0,,13.0,13.0,Flu,Irrigation;WASH,zcrm_361303000000716013
Ban Mae Song,2021-11-28 06:40:40,36.0,Average (some paved road. some potholes),175.0,,,50.0,,85.0,90.0,85.0,80.0,Ban Sa La Jiang Tong,12.0,1.0,12.0,12.0,Flu,Irrigation;Further Education Scholarships,zcrm_361303000000716180
Ban Mae Po,2021-11-29 03:16:25,65.0,Average (some paved road. some potholes),315.0,,,50.0,,90.0,151.0,164.0,90.0,Ban Sa La Jiang Tong,15.0,,15.0,15.0,Flu,Irrigation;WASH,zcrm_361303000000716289
Ban Mae Phae,2021-11-29 03:23:28,85.0,Average (some paved road. some potholes),380.0,,,50.0,,70.0,196.0,184.0,70.0,Ban Sa La Jiang Tong,20.0,,20.0,20.0,,Irrigation,zcrm_361303000000716314
Ban Kong Soum,2022-06-01 07:48:30,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611292
Ban Huay Po,2022-06-01 08:05:00,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611368
Ban Klo Se Lo,2022-06-01 08:11:55,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611430
Ban Huay Hu Pa,2022-06-01 08:24:03,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611560
Ban Mae Taw La,2022-06-01 08:27:45,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611591
Ban Huay Sua,2022-06-01 08:36:00,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611617
Ban Pang Chang,2022-06-01 08:40:32,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611643
Ban Mae Sa,2022-06-01 08:45:09,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001611690
Ban Mae Wa Luang,2022-06-20 07:12:44,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001699013
Sao Hin,2022-06-20 07:26:27,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001699049
Pa Mark,2022-06-20 07:29:43,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001699075
Mae Tor,2022-06-20 07:31:03,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001699101
Ban Aum Da Nua,2022-06-20 07:54:16,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001699139
Ban Huay Ma Kok,2022-06-20 08:06:00,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001699181
Ban Mae Jaw,2022-07-25 05:36:37,45.0,,120.0,,,,,,,,,,,,,,,School Buses;Irrigation;Further Education Scholarships,zcrm_361303000001884037
Ban Huay Phueng,2022-07-25 07:10:57,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001884168
Mon Ta Lang,2022-07-26 05:01:45,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001905020
Mae Salit Luang,2022-07-26 05:03:14,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000001905042
Ban Huay Bong Tha,2022-08-04 04:57:10,29.0,,122.0,,,,,,,,,,,,,,,,zcrm_361303000002044003
Ban Thung Ruang Thong,2022-08-04 05:06:32,320.0,,710.0,,,,,,,,,,,,,,,,zcrm_361303000002044029
Ban Huay Pom Fard,2022-08-04 05:09:42,25.0,,132.0,,,,,,,,,,,,,,,,zcrm_361303000002044055
Ban Sob Mae Ruam,2022-08-04 05:15:09,50.0,,485.0,,,,,,,,,,,,,,,,zcrm_361303000002044081
Ban Ruam Mo,2022-08-04 05:17:28,61.0,,207.0,,,,,,,,,,,,,,,,zcrm_361303000002044107
Ban Eeh Vee Jo,2022-08-04 05:26:01,78.0,,367.0,,,,,,,,,,,,,,,,zcrm_361303000002044150
Ban Mae Phae Noi,2022-08-04 05:29:37,25.0,,110.0,,,,,,,,,,,,,,,,zcrm_361303000002044176
Ban Mae Lui Bon,2022-08-04 05:32:03,43.0,,165.0,,,,,,,,,,,,,,,,zcrm_361303000002044202
Ban Huay Khi Pher,2022-08-04 05:40:56,35.0,,166.0,,,,,,,,,,,,,,,,zcrm_361303000002044270
Wangkhan,2022-08-26 02:14:33,,,,,,,,,,,,,,,,,,Further Education Scholarships,zcrm_361303000002194023
Ban Kong Sum Nua,2022-09-13 10:46:35,,,,,,,,,,,,,,,,,,WASH,zcrm_361303000002242022
Ban Kong Sum Tai,2022-09-13 10:47:36,,,,,,,,,,,,,,,,,,,zcrm_361303000002242074
Ban Mae Nil Nok,2022-09-14 03:13:22,,,,,,,,,,,,,,,,,,,zcrm_361303000002250064
Ban Mae Nil Nok,2022-09-14 03:13:24,,,,,,,,,,,,,,,,,,,zcrm_361303000002250074
